type,name,description,examples
BaseMetals,Base metals,"Abundant in the Earth's crust, most of them are commonly used in industry. Some of them can require large amounts of energy during extraction and refining","Aluminum (Al), Copper (Cu), Nickel (Ni), Tin (Sn), Iron (Fe), Zinc (Zn), Magnesium (Mg), Manganese (Mn)"
PreciousMetals,Precious metals,"Rare but above all of great economic value, they are mainly used in printed circuit boards","Gold (Au), Silver (Ag), Platinum (Pt), Palladium (Pd), Ruthenium (Ru)"
RareEarths,Rare earths,"Rare earths, not to be confused with rare metals, are called rare not so much because of their actual scarcity but because they are difficult to extract","Yttrium (Y), Neodymium (Nd), Dysprosium (Dy), Praseodymium (Pr)"
OtherMetals,Other metals,"This category mainly includes 'speciality metals', i.e. all other metals that are quite rare or scarce, but whose current economic value is not enough to make them precious","Lithium (Li), Cobalt (Co), Tantalum (Ta), Indium (In), Antimony (Sb), Tungsten (W), Gallium (Ga), Germanium (Ge), Silicon (Si)"
OtherMaterials,Other materials,"40 to 70% of the smartphone's weight","Plastic, Glass, Ceramic, Synthetic materials"
